payment_ratio_3month,total_usage,total_usage_per_limit,delinquency_score,payment_ratio,payment_ratio_6month,utilization_3month,overlimit_percentage,total_3mo_usage_per_limit,remaining_bill,default_flag,credit_score
0.0,1012.0,0.0001012,,0.0,0.0,0.004231625,0.0,0.0,0.0,0,335.6596598824164
100.0,0.0,0.0,,100.0,100.91,0.249389277,0.0,0.040517857,0.0,0,335.1032400137547
97.49,2666558.0,0.2666558,,95.99,99.84,0.707865025,0.0,0.323027,5951865.0,0,318.15767670964897
28.46,3690250.0,0.046128125,,0.0,42.03,0.038963606,0.0,0.017184375,4613435.0,0,331.2990041343346
24.95,230400.0,0.0576,,18.47,17.89,1.014775813,0.0,0.01875,3314046.0,0,331.9047747480932
105.24,9327612.0,0.4663806,,58.55,166.67,0.261753338,0.0,0.2392893,7881069.0,0,315.41954350800273
58.4,0.0,0.0,,100.0,62.68,0.315145179,0.0,0.075,1627786.0,0,332.94838352785627
100.0,31036235.0,0.369478988,,100.0,100.0,0.396655988,0.0,0.164046339,0.0,0,324.6227552769932
74.99,0.0,0.0,,100.13,18.52,0.342642826,0.0,0.057634076,0.0,0,334.4117432742678
29.47,326100.0,0.046585714,,17.53,24.24,1.163175571,23.42932857142857,0.250685714,8269767.0,0,310.6378444308888
75.01,3101354.0,0.03101354,,99.9,74.41,0.388039143,0.0,0.0,0.0,0,335.5604059133941
7.43,0.0,0.0,0.0,9.17,14.26,0.98835345,6.18182,0.02369,5310555.0,1,328.38839821748905
100.0,457725.0,0.11443125,,100.0,100.0,0.13060025,0.0,0.140283438,0.0,0,330.1546807843374
98.12,1583400.0,0.1218,,164.09,100.0,0.637737731,6.887607692307693,0.677190654,0.0,0,311.9064999884979
7.49,0.0,0.0,0.0,10.51,12.2,1.153388363,12.669575,0.099496988,22442690.0,1,311.4668590126845
0.0,9653.0,0.00048265,,0.0,0.0,0.002669388,0.0,0.000478325,0.0,0,335.6391411570267
100.0,19725000.0,0.263,,100.0,100.0,0.358958023,0.0,0.1994778,0.0,0,325.67805177954057
10.31,453615.0,0.050401667,,0.0,9.82,0.911498972,0.0,0.0578,8187963.0,0,327.59344751776507
53.04,3930500.0,0.196525,,10.12,99.83,0.839397013,3.389395,0.217989425,20585838.0,0,310.5654003061746
100.0,0.0,0.0,,100.0,100.0,0.497469969,0.0,0.434746875,0.0,0,324.1984751506096
17.27,0.0,0.0,,0.0,28.07,1.053099104,0.0,0.081079896,9448678.0,0,327.10955189237524
71.09,0.0,0.0,,0.0,48.62,0.9626135,5.047005,0.4943125,20779541.0,0,305.5536063453854
49.91,0.0,0.0,,0.0,100.0,0.224720438,0.0,0.027564875,0.0,0,335.1645331126498
0.0,0.0,0.0,,0.0,0.0,0.000519945,0.0,0.0,0.0,0,335.6615941331809
88.03,0.0,0.0,,0.0,98.77,0.65312845,0.0,0.28,4898977.0,0,324.8700911694235
25.09,1029809.0,0.011570888,,0.0,66.67,1.175830458,13.585886516853932,0.065478385,98145225.0,0,260.69093310105586
99.77,2371574.0,0.395262333,,99.73,99.82,0.50699575,0.0,0.458442083,0.0,0,315.9872065169879
75.0,0.0,0.0,,100.0,66.67,0.0855824,0.0,0.10124825,0.0,0,333.3329302171404
0.0,0.0,0.0,,0.0,70.88,0.004056616,0.0,0.000698214,0.0,0,335.83028860373116
100.2,501640.0,0.0062705,,103.45,100.03,0.122994925,0.0,0.009309656,0.0,0,335.85427599835805
107.46,5722000.0,0.096983051,,101.2,100.91,0.126639932,0.0,0.104708699,0.0,0,331.4779332871286
24.61,450000.0,0.015,,24.07,15.96,1.340845267,0.0,0.0625,26562496.0,0,315.8120555045717
100.12,2000000.0,0.2,,100.0,100.48,0.1963188,0.0,0.24316555,0.0,0,325.67527445422127
72.76,0.0,0.0,,0.0,64.45,0.818427821,0.0,0.311373679,0.0,0,327.221544802614
11.62,0.0,0.0,,14.44,66.64,1.218362781,28.16365,0.072069719,10032277.0,0,313.0102834779603
50.0,0.0,0.0,,45.35,47.46,0.22252475,0.0,0.06859375,1950412.0,0,332.7062395208347
10.38,0.0,0.0,0.0,18.24,13.11,0.74495595,0.0,0.0,3647207.0,1,333.28575622764816
4.91,52000.0,0.004,0.0,0.0,14.06,1.078112096,18.170546153846153,0.006355769,15449105.0,1,315.9117600667447
75.56,3228794.0,0.461256286,,100.0,66.67,0.378177143,0.0,0.285714286,4750114.0,0,316.2059494794835
29.83,1682000.0,0.129384615,,30.3,92.87,0.596084135,0.0,0.111259827,7297467.0,0,325.516615472239
75.0,71000.0,0.0142,,0.0,109.71,0.0278385,0.0,0.0277998,290873.0,0,334.7158487465522
75.0,1333540.0,0.066677,,0.0,50.81,0.037730413,0.0,0.02935,2653632.0,0,331.9172911212213
7.5,454996.0,0.064999429,,0.0,19.1,0.818545143,11.740257142857143,0.092235714,7883797.0,0,320.71498773279086
15.86,1250000.0,0.083333333,0.0,0.0,12.12,2.213187333,129.33975333333333,0.303706667,32788863.0,0,238.79884971109965
7.23,1806768.0,0.258109714,0.0,7.31,20.15,1.33822375,54.125485714285716,0.082365393,10142774.0,0,294.5765944143727
46.21,706305.0,0.088288125,0.0,17.27,66.67,0.309743719,0.0,0.075030563,2985347.0,0,330.10974137971965
13.52,0.0,0.0,0.0,15.65,14.05,0.970890167,0.0,0.0,2763937.0,0,333.87742584541564
84.31,5693659.0,0.28468295,0.0,58.17,101.19,0.624839338,0.0,0.334390675,16697995.0,0,310.13016004043124
