Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,days_since_join,Age
Graduation,Single,58138.0,0,0,635,88,546,172,88,88,3,8,10,4,7,No,No,No,No,No,No,Yes,971,57
Graduation,Single,46344.0,1,1,11,1,6,2,1,6,2,1,1,2,5,No,No,No,No,No,No,No,125,60
Graduation,Together,71613.0,0,0,426,49,127,111,21,42,1,8,2,10,4,No,No,No,No,No,No,No,472,49
Graduation,Together,26646.0,1,0,11,4,20,10,3,5,2,2,0,4,6,No,No,No,No,No,No,No,65,30
PhD,Married,58293.0,1,0,173,43,118,46,27,15,5,5,3,6,5,No,No,No,No,No,No,No,321,33
Master,Together,62513.0,0,1,520,42,98,0,42,14,2,6,4,10,6,No,No,No,No,No,No,No,453,47
Graduation,Divorced,55635.0,0,1,235,65,164,50,49,27,4,7,3,7,6,No,No,No,No,No,No,No,753,43
PhD,Married,33454.0,1,0,76,10,56,3,1,23,2,4,0,4,8,No,No,No,No,No,No,No,488,29
PhD,Together,30351.0,1,0,14,0,24,3,3,2,1,3,0,2,9,No,No,No,No,No,No,Yes,548,40
PhD,Together,5648.0,1,1,28,0,6,1,1,13,1,1,0,0,20,Yes,No,No,No,No,No,No,268,64
Basic,Married,7500.0,0,0,6,16,11,11,1,16,1,2,0,3,8,No,No,No,No,No,No,No,753,38
Graduation,Divorced,63033.0,0,0,194,61,480,225,112,30,1,3,4,8,2,No,No,No,No,No,No,No,386,55
Master,Divorced,59354.0,1,1,233,2,53,3,5,14,3,6,1,5,6,No,No,No,No,No,No,No,386,62
Graduation,Married,17323.0,0,0,3,14,17,6,1,5,1,1,0,3,8,No,No,No,No,No,No,No,787,27
PhD,Single,82800.0,0,0,1006,22,115,59,68,45,1,7,6,12,3,No,No,Yes,Yes,No,No,Yes,742,68
Graduation,Married,41850.0,1,1,53,5,19,2,13,4,3,3,0,3,8,No,No,No,No,No,No,No,712,34
Graduation,Together,37760.0,0,0,84,5,38,150,12,28,2,4,1,6,7,No,No,No,No,No,No,No,827,68
Master,Married,76995.0,0,1,1012,80,498,0,16,176,2,11,4,9,5,No,No,No,Yes,No,No,No,618,65
2n Cycle,Single,33812.0,1,0,4,17,19,30,24,39,2,2,1,3,6,No,No,No,No,No,No,No,1000,29
Graduation,Married,37040.0,0,0,86,2,73,69,38,48,1,4,2,5,8,No,No,No,No,No,No,No,850,32
Graduation,Married,2447.0,1,0,1,1,1725,1,1,1,15,0,28,0,1,No,No,No,No,No,No,No,553,35
PhD,Married,58607.0,0,1,867,0,86,0,0,19,3,2,3,9,8,No,Yes,No,No,No,No,No,713,65
PhD,Married,65324.0,0,1,384,0,102,21,32,5,3,6,2,9,4,No,No,No,No,No,No,No,35,60
Graduation,Together,40689.0,0,1,270,3,27,39,6,99,7,7,1,5,8,No,No,No,No,No,No,No,628,63
Graduation,Single,18589.0,0,0,6,4,25,15,12,13,2,2,1,3,7,No,No,No,No,No,No,No,673,45
Graduation,Married,53359.0,1,1,173,4,30,3,6,41,4,5,1,4,7,No,No,No,No,No,No,No,558,38
